Date,Open,High,Low,Close,Adj Close,Volume
2016-06-21,67.320000,68.410004,67.120003,68.269997,55.114403,11222300
2016-06-22,68.570000,68.570000,67.830002,67.889999,54.807625,10258200
2016-06-23,68.599998,69.029999,68.339996,69.010002,55.711823,9538500
2016-06-24,66.349998,67.550003,66.290001,66.779999,53.911526,26879900
2016-06-27,65.870003,65.930000,64.110001,64.639999,52.183895,21659700
2016-06-28,65.849998,66.449997,65.470001,66.440002,53.637047,14550400
2016-06-29,66.849998,68.099998,66.849998,67.699997,54.654236,16354400
2016-06-30,67.410004,68.279999,67.269997,68.239998,55.090183,12132300
2016-07-01,68.160004,68.849998,68.110001,68.599998,55.380814,12678800
2016-07-05,67.680000,67.919998,66.550003,67.220001,54.266739,15069900
2016-07-06,66.830002,67.559998,66.370003,67.510002,54.500862,15897500
2016-07-07,67.910004,68.339996,66.349998,66.820000,53.943825,14097800
2016-07-08,67.419998,67.949997,67.050003,67.709999,54.662312,11567900
2016-07-11,68.070000,68.389999,67.779999,67.839996,54.767258,9750400
2016-07-12,68.860001,69.820000,68.720001,69.519997,56.123528,15524500
2016-07-13,69.320000,69.699997,68.279999,68.919998,55.639153,12546200
2016-07-14,69.459999,69.629997,69.070000,69.269997,55.921700,10898600
2016-07-15,69.519997,69.680000,68.970001,69.230003,55.889416,9129500
2016-07-18,69.029999,69.309998,68.589996,69.279999,55.929783,9401100
2016-07-19,69.110001,69.220001,68.629997,68.889999,55.614933,6991900
2016-07-20,68.610001,69.129997,68.040001,68.790001,55.534199,11555000
2016-07-21,68.599998,69.230003,67.940002,68.110001,54.985237,9256900
2016-07-22,68.260002,68.430000,67.879997,68.320000,55.154774,7990600
2016-07-25,67.870003,68.019997,66.709999,66.959999,54.056835,12771700
2016-07-26,66.570000,67.410004,66.529999,67.349998,54.371681,12393900
2016-07-27,67.440002,67.930000,66.400002,66.690002,53.838871,16177900
2016-07-28,66.610001,67.019997,66.230003,66.699997,53.846939,10863500
2016-07-29,65.750000,67.459999,65.690002,67.379997,54.395901,16501800
2016-08-01,66.790001,66.839996,64.930000,65.160004,52.603706,30648500
2016-08-02,65.620003,66.070000,64.570000,65.750000,53.080006,25600100
2016-08-03,65.760002,67.050003,65.500000,67.019997,54.105278,23905600
2016-08-04,66.769997,67.379997,66.540001,66.919998,54.024551,16790200
2016-08-05,66.959999,67.620003,66.839996,67.529999,54.517002,11426800
